"Specialized Traces WorkflowID"	"Specialized Traces ID"	"Checked"	"File ID"	"TraceDetector Type"	"Description"	"Scan Filter"	"Spectrum File"
"-116"	"48"	"False"	"F24"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_C5.raw"
"-116"	"49"	"False"	"F25"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_C6.raw"
"-116"	"50"	"False"	"F25"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_C6.raw"
"-116"	"51"	"False"	"F26"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_D5.raw"
"-116"	"52"	"False"	"F26"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_D5.raw"
"-116"	"53"	"False"	"F27"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_D7.raw"
"-116"	"54"	"False"	"F27"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_D7.raw"
"-116"	"55"	"False"	"F28"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_E5.raw"
"-116"	"56"	"False"	"F28"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_E5.raw"
"-116"	"57"	"False"	"F29"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_F5_bad.raw"
"-116"	"58"	"False"	"F29"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_F5_bad.raw"
"-116"	"59"	"False"	"F30"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_H7.raw"
"-116"	"60"	"False"	"F30"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_H7.raw"
"-116"	"61"	"False"	"F31"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_J5.raw"
"-116"	"62"	"False"	"F31"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_J5.raw"
"-116"	"63"	"False"	"F32"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_J6.raw"
"-116"	"64"	"False"	"F32"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_J6.raw"
"-116"	"65"	"False"	"F33"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_K5_bad.raw"
"-116"	"66"	"False"	"F33"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_K5_bad.raw"
"-116"	"67"	"False"	"F34"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_B7.raw"
"-116"	"68"	"False"	"F34"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_B7.raw"
"-116"	"69"	"False"	"F35"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_F7.raw"
"-116"	"70"	"False"	"F35"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_F7.raw"
"-116"	"71"	"False"	"F36"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_G5_bad.raw"
"-116"	"72"	"False"	"F36"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH2_G5_bad.raw"
